"filename", "language", "YAML", "Dart", "HTML", "Markdown", "JSON", "C++", "XML", "Swift", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\config\l10n\app_en.arb", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\config\l10n\app_no.arb", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\config\logs\logger.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\config\routes\routes.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\config\theme\themes.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\extensions\color\asExportableString.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\extensions\list\rawListString.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\extensions\map\asTheme.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\extensions\themeData\asMap.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\logic\Localization\state\locale.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 31
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\logic\logs\output\logOutput.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 35
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\logic\logs\printer\logService.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\logic\navigation\gen\generateRoute.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 41
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\logic\navigation\mapping\findWidget.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\logic\navigation\observers\navigationWatcher.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\logic\navigation\routes\routes.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\logic\theme\custom\customTheme.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 16
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\logic\theme\themes.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 78
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\main.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 75
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\start\configureApp.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\start\localization\configureLocalization.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\start\logs\configerLogger.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 45
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\start\navigation\configureNavigation.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\start\navigation\routes\configureRoutes.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\start\preferences\configureSharedPreferencesPlugins.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\start\theme\configureTheme.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 82
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\start\widgets\configureInitialization.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\pubspec.yaml", "YAML", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 8, 74
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\web\index.html", "HTML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 15, 5, 46
